,name,difficulty_code,district,difficulty,description,polyline
78,5TH AVE NE,d,Current,#FF0000,In street minor separation,"[(48.8421761656562, -110.26144058017978), (48.84511235816305, -110.26077336921553), (48.845131566589274, -110.26076900760702), (48.84514793136367, -110.26076529095063), (48.845351332015305, -110.26071906828244), (48.84807616770969, -110.26009982209104)]"
80,SEATTLE BLVD S,i,Current,#FFFF00,In street major separation,"[(48.513588535493255, -110.35513919765137), (48.51102153290449, -110.35138273405762), (48.51098928737922, -110.35133556494179)]"
81,RAINIER AVE S,i,Current,#FFFF00,In street major separation,"[(48.21109119661462, -110.15459819280089), (48.211061765237304, -110.1543770928148), (48.21106157924983, -110.15437572301882), (48.21102764453601, -110.15408252959351), (48.21098054404497, -110.15367558285276), (48.21032570126695, -110.14801980229653), (48.20985410882819, -110.1439482484368)]"
82,39TH AVE NE,e,Current,#00FF00,Enhanced Street,"[(48.770136101284535, -110.15305879332911), (48.77322754167881, -110.15250628125968), (48.77586297441654, -110.15194927349005), (48.7761410629124, -110.15235703458532)]"
83,1ST AVE,i,Current,#FFFF00,In street major separation,"[(48.59427876725981, -110.42564205572579), (48.596488037766036, -110.42843936637803)]"
85,24TH AVE NW,d,Current,#FF0000,In street minor separation,"[(48.823112748198305, -110.48498882285064), (48.829050784760184, -110.48361400333573)]"
86,M L KING JR WAY S,i,Current,#FFFF00,In street major separation,"[(48.52192268725898, -110.24864322436795), (48.521719766749506, -110.2486959353138), (48.521630548999916, -110.24872230255627), (48.521517706633176, -110.24875565288346), (48.5213166057333, -110.24882231441964), (48.52111657255358, -110.2488958867386), (48.52091771135302, -110.24897634104059), (48.52072012417837, -110.24906362449913), (48.52052830382389, -110.24915559044622), (48.52052391858415, -110.24915769363722), (48.52052146714122, -110.24915896359413), (48.520329194651, -110.24925849954172), (48.52013605245799, -110.24936599330005), (48.51994460025994, -110.24948011380505), (48.51941342005459, -110.24980910888262)]"
87,MOUNT RAINIER DR S,d,Current,#FF0000,In street minor separation,"[(48.4428062652507, -110.23664264306181), (48.44278641877135, -110.23664272428758), (48.442562619399496, -110.23663635223959), (48.44233896479882, -110.23662267691215), (48.442115560116854, -110.23660170444755), (48.44189251569283, -110.23657344689289), (48.44166992818116, -110.23653791914391), (48.44144790823469, -110.23649513667337), (48.441226557382095, -110.23644511685276), (48.441005980696225, -110.23638789028782), (48.44078628458055, -110.23632347682405), (48.44056756985981, -110.23625191144082), (48.44034993704185, -110.23617322568877), (48.44013349866738, -110.23608745559437), (48.439918344787934, -110.23599464536181), (48.439704586293246, -110.23589483834257), (48.43949231779322, -110.23578807778466), (48.43928164200204, -110.23567441921725), (48.43907265644038, -110.23555391226164), (48.43886546185544, -110.23542661634332), (48.438660156397795, -110.23529258793205), (48.438456834604544, -110.2351518947259), (48.43825559037888, -110.23500459756433), (48.4380565263618, -110.23485077642236), (48.43785972733391, -110.2346904940329), (48.43766528814475, -110.23452382150545)]"
90,N 50TH ST,i,Current,#FFFF00,In street major separation,"[(48.7460800817276, -110.38064632326697), (48.74565994475805, -110.37579807204325)]"
91,35TH AVE NE,i,Current,#FFFF00,In street major separation,"[(48.85114346160517, -110.14973688673959), (48.853990022517316, -110.14918992616907)]"
94,PHINNEY AVE N,i,Current,#FFFF00,In street major separation,"[(48.78038153860372, -110.38230618544716), (48.782661444479864, -110.38177708805992), (48.78273983403274, -110.3817581500477)]"
96,AIRPORT WAY S,i,Current,#FFFF00,In street major separation,"[(48.373740745086, -110.36552640471614), (48.37245291449072, -110.36461642503956), (48.37106356337405, -110.36363476621786), (48.36919776631498, -110.36237566345916)]"
98,MAGNOLIA BLVD W,i,Current,#FFFF00,In street major separation,"[(48.654649309498545, -110.54725635818258), (48.65498088259881, -110.54855118941941), (48.656432412090275, -110.55160468053803), (48.657763923644644, -110.554289708753), (48.658289895643364, -110.55533077680057), (48.65883690306104, -110.55585851117863), (48.66042705497212, -110.55650471287223)]"
101,39TH AVE NE,e,Current,#00FF00,Enhanced Street,"[(48.764240254703246, -110.1543006752602), (48.76707102824506, -110.1537044460301), (48.76986851870734, -110.15311516118143), (48.770136101284535, -110.15305879332911)]"
103,FREMONT AVE N,e,Current,#00FF00,Enhanced Street,"[(48.821281171421724, -110.35751187413192), (48.82360899453788, -110.3569623821927), (48.82362676856491, -110.35695818823693)]"
105,NE 45TH ST,d,Current,#FF0000,In street minor separation,"[(48.710884842740896, -110.16284115940674), (48.71043232811342, -110.15833342282194), (48.71021647752386, -110.15618386095673)]"
106,NE RAVENNA BLVD,i,Current,#FFFF00,In street major separation,"[(48.77122638167806, -110.27584442810958), (48.76884373402237, -110.27446978455562), (48.76867679461064, -110.27436224337833), (48.76807782005484, -110.27397640901268), (48.76698895710445, -110.27327503602345), (48.766536233192824, -110.27298342925837), (48.76644357188549, -110.27292374584381)]"
107,GREENWOOD AVE N,i,Current,#FFFF00,In street major separation,"[(48.806609322828116, -110.37929481457631), (48.80897350741945, -110.37873482684421)]"
110,22ND AVE SW,e,Current,#00FF00,Enhanced Street,"[(48.443328506853646, -110.48463308896166), (48.44327625740855, -110.48466706034228), (48.441964624892975, -110.48500231322285)]"
112,STEWART ST,i,Current,#FFFF00,In street major separation,"[(48.58757837044542, -110.3488686278273), (48.58790254614393, -110.34828430743441), (48.588189720540925, -110.34778844930072)]"
117,FAUNTLEROY WAY SW,i,Current,#FFFF00,In street major separation,"[(48.36148160663384, -110.60123624317373), (48.35917560272055, -110.60180351921832), (48.358906848638824, -110.60186962727676)]"
118,CALIFORNIA AVE SW,d,Current,#FF0000,Sharrows,"[(48.44495113640262, -110.57085424430684), (48.43895054901134, -110.57225557218125)]"
122,1ST AVE NE,d,Current,#FF0000,Sharrows,"[(48.91494525032451, -110.26399389930776), (48.92078763055511, -110.26250917767896), (48.92286131523682, -110.26198209811994)]"
124,24TH AVE NW,d,Current,#FF0000,In street minor separation,"[(48.78700948641521, -110.49351045341396), (48.78937078132655, -110.49295282488312)]"
125,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(48.262653344423484, -110.27008260561715), (48.26158060510628, -110.2692027140402)]"
126,DEXTER AVE,i,Current,#FFFF00,In street major separation,"[(48.5905698045307, -110.38677182033952), (48.5923915484345, -110.38631814403703)]"
127,SEWARD PARK AVE S,d,Current,#FF0000,In street minor separation,"[(48.35735791594246, -110.17922036099823), (48.35692049542226, -110.17898135895896), (48.35413604573803, -110.17746020701276), (48.35399094274184, -110.17738094122335)]"
131,E CHERRY ST,d,Current,#FF0000,In street minor separation,"[(48.54214558813451, -110.24071476046915), (48.54181600863937, -110.23762247095475)]"
132,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(48.3135174708524, -110.29007027869976), (48.31164337107191, -110.28795202499818)]"
136,19TH AVE,d,Current,#FF0000,Sharrows,"[(48.540286526194464, -110.28103298907887), (48.54629854803119, -110.27956292392226)]"
137,MOUNT RAINIER DR S,d,Current,#FF0000,Sharrows,"[(48.4348354220233, -110.23071740954516), (48.43472012435496, -110.23061893085288), (48.43460264721036, -110.2305264568867), (48.434483130009305, -110.23044008780604), (48.43436171248687, -110.23035992719332), (48.4342385383063, -110.23028607082443), (48.43411375049689, -110.23021860761682), (48.43398749798101, -110.23015761477994), (48.433859926766246, -110.23010316314179), (48.43373118678832, -110.2300553157225), (48.43360143450671, -110.23001413068972), (48.433470813713235, -110.22997965487522), (48.43333948644192, -110.22995193130964), (48.43320760433872, -110.22993099121432), (48.43307531841693, -110.22991685895632), (48.43294279077392, -110.22990955309811), (48.4328101728033, -110.22990907696945), (48.432677623054886, -110.22991543590011), (48.43254529393571, -110.22992861903722), (48.4324133492534, -110.22994861315117), (48.43228187645448, -110.22997475381524)]"
140,ELLIOTT BAY TRL,e,Current,#00FF00,Multi use Trail,"[(48.59200805914434, -110.43785559946832), (48.59500454429545, -110.4406192343176), (48.59851599145269, -110.44399356574402), (48.60381366658631, -110.44905843037306), (48.60429169871173, -110.44954282439774), (48.60475948842545, -110.45004751891088), (48.60516159814161, -110.45049288017385), (48.60575210595915, -110.45115443418165), (48.6059873091709, -110.45148840898675), (48.60629081502343, -110.45204495369575), (48.606636294261854, -110.45266569505523), (48.60670298626675, -110.45287040184003), (48.60673413111782, -110.4530823797908), (48.60671669363315, -110.45355904240331), (48.60671711463358, -110.45383189859461), (48.60673158535599, -110.45399270087553), (48.6068254406059, -110.45410652936873), (48.60711861557007, -110.45440480411489), (48.607205786394225, -110.45456892873226), (48.607250384721496, -110.45479635262078), (48.60727450054626, -110.45506436316904), (48.607249612313446, -110.45532420014558), (48.60732636102592, -110.45590897197968), (48.607393046984946, -110.45611368232991), (48.60754648623116, -110.45620966498916), (48.60775274213995, -110.45622205839322), (48.6080230626867, -110.45627593461735), (48.60841329948431, -110.45672380079837), (48.60860752031364, -110.45713898481903), (48.608844910780356, -110.45736337203364), (48.61108484112894, -110.45932541123244), (48.611633322587515, -110.45992293542419), (48.61213219702735, -110.46063980268138), (48.61246959857059, -110.46117133043995), (48.61259069988994, -110.46131034546626), (48.612912634117784, -110.461535680764), (48.61341872889366, -110.46179614864323), (48.613873609050444, -110.46215808871553), (48.61432628010853, -110.46262967330901), (48.614651823289435, -110.46316365980454), (48.614955874550226, -110.4635928555305), (48.61524386305826, -110.46384335024848), (48.615562577223194, -110.464032973041), (48.615803773790326, -110.46416564779571), (48.616308255950685, -110.46440828591089), (48.61657957296222, -110.46460760611694), (48.616813132748355, -110.46492384253217), (48.61690992516193, -110.46519524133328), (48.61704326353737, -110.46560476373679), (48.617162146756804, -110.46585345311591), (48.61733927556831, -110.46594463903085), (48.61759131999529, -110.46592951420031), (48.61788693926772, -110.46599647900497), (48.61804036981428, -110.46609251112315), (48.618813339523165, -110.4667716925538), (48.61903664999121, -110.46710824638674), (48.61931056700617, -110.46747085542879), (48.61957263180549, -110.46783589414399), (48.61999676612765, -110.46825880882196), (48.620351019869744, -110.46844121155826), (48.62135453755832, -110.46900053559756), (48.62159733121302, -110.4691511219716), (48.62171781181154, -110.4694177110293), (48.62175213744621, -110.46966551025574), (48.621772396265804, -110.47002538552587), (48.62173180331174, -110.47037949874326), (48.621652451029355, -110.47070512649657), (48.62166467826452, -110.47097563848135), (48.62194981968093, -110.47146340345091), (48.62252736362082, -110.4719824267313), (48.623425105880415, -110.4737829398607), (48.62349496977645, -110.47402348845567), (48.62355921833288, -110.4745239903108), (48.624574375408464, -110.47612227656575), (48.625096481404796, -110.47669699992387), (48.625530607192076, -110.47692062909596), (48.62581187452303, -110.47711869849432), (48.62597974820148, -110.47731153896665), (48.62612066558014, -110.47762344732166), (48.62614972128253, -110.47815693134316), (48.62603439405341, -110.47854956953088), (48.626044964341496, -110.47908682693898), (48.62623785206863, -110.47955847511767), (48.626541631215076, -110.48000747785258), (48.62675452412869, -110.48070217344875), (48.62694990186906, -110.48120171436688), (48.627047871103294, -110.48166436119931), (48.62727021183709, -110.48204483700148), (48.62755299228582, -110.48246975812775), (48.62779880663564, -110.4829022328927), (48.62849972295696, -110.48358251632764), (48.628729556843574, -110.48404665597455), (48.628927422719265, -110.48457410896239), (48.6290703815814, -110.48553865011635), (48.62902056426725, -110.4870819795739), (48.62947671355965, -110.48818136435199), (48.62960911870406, -110.48860862886335), (48.629672130386005, -110.4897314544636), (48.62993541342745, -110.4903591570909), (48.63094706948742, -110.49324758986468), (48.631269503823944, -110.49629860202383), (48.63127193324275, -110.49633285564933), (48.63127460250297, -110.49635578231414), (48.63127809022953, -110.4963784580068), (48.631282385693275, -110.49640081482161), (48.63128748075557, -110.49642278782993), (48.63129335587071, -110.49644431442846), (48.63129999513073, -110.49646532075863), (48.63130738053093, -110.49648576142611), (48.63131548703816, -110.49650556443169), (48.63132429375026, -110.4965246779627), (48.63133377458548, -110.49654304425204), (48.63134390118055, -110.49656060599891), (48.63135464350778, -110.4965773132496), (48.63136596956647, -110.49659311995829), (48.63137784507376, -110.49660798054363), (48.63139024259204, -110.49662184802881), (48.631403113842154, -110.49663467618127), (48.63141643064554, -110.49664643569817), (48.63143014792996, -110.49665709020641), (48.63144422808308, -110.496666608823), (48.631458631211466, -110.4966749611273), (48.63147331119434, -110.49668212497907), (48.63148822647246, -110.49668807730768), (48.631503336104615, -110.49669280192606), (48.631518587741986, -110.49669628497206), (48.63153395018476, -110.49669851528239), (48.63154936485632, -110.49669948727329), (48.631564791431515, -110.49669919164212), (48.63158018717965, -110.4966976441071), (48.63159550523994, -110.49669484020312), (48.63175234824987, -110.49677444815748), (48.63397274181382, -110.49635016372919), (48.634497742022056, -110.4963283073629), (48.64666587667702, -110.49349234605697)]"
141,BURKE GILMAN TRL,e,Current,#00FF00,Multi use Trail,"[(48.72290825522799, -110.42726161010337), (48.72257231496967, -110.42698004723182), (48.72254428985369, -110.4269013891547), (48.72252338851208, -110.42677772850787)]"
142,1ST AVE N,i,Current,#FFFF00,In street major separation,"[(48.60080908226319, -110.42846959691965), (48.6045898618344, -110.42754659008422)]"
147,35TH AVE NE,i,Current,#FFFF00,In street major separation,"[(48.842065073998135, -110.15148091095578), (48.84810681013289, -110.15032034323237), (48.848340074547004, -110.15027550060628)]"
149,FREMONT AVE N,e,Current,#00FF00,Enhanced Street,"[(48.84881800796513, -110.35122397595394), (48.85186894385065, -110.35053511035686), (48.851886740580454, -110.35053116755313)]"
150,25TH AVE NE,d,Current,#FF0000,In street minor separation,"[(48.798794485187095, -110.19640804932584), (48.79891900557456, -110.19644366389795), (48.799044338218216, -110.19648905334917), (48.79916883802415, -110.19653941712065), (48.79929241586671, -110.1965947212397), (48.801064428942624, -110.19742641044576), (48.80136733740722, -110.19756881632497), (48.80188481361728, -110.19778034189305), (48.802005016900935, -110.1978231651236), (48.802132585061045, -110.1978644413871), (48.80231723677064, -110.19792152542382)]"
152,20TH AVE S,i,Current,#FFFF00,In street major separation,"[(48.51595598317727, -110.28248535057669), (48.51442608471014, -110.28285274743757)]"
154,RAVENNA AVE NE,d,Current,#FF0000,In street minor separation,"[(48.80975525917895, -110.19611883359813), (48.81071230795611, -110.19626703988524)]"
156,PHINNEY AVE N,i,Current,#FFFF00,In street major separation,"[(48.778036284679686, -110.3829035197701), (48.78038153860372, -110.38230618544716)]"
160,31ST AVE S,d,Current,#FF0000,In street minor separation,"[(48.494057742150616, -110.24172546639049), (48.49342962295804, -110.24189915785576)]"
162,GREENWOOD AVE N,d,Current,#FF0000,In street minor separation,"[(48.874934668794545, -110.36354625022477), (48.8772847813892, -110.36301226808834)]"
165,BROADWAY,i,Current,#FFFF00,In street major separation,"[(48.56684582514353, -110.3191390500839), (48.57045644130966, -110.31834449934243)]"
167,FREMONT AVE N,e,Current,#00FF00,Enhanced Street,"[(48.837785313449, -110.35371406313128), (48.84013454630326, -110.35318393891579)]"
169,SW MORGAN ST,i,Current,#FFFF00,In street major separation,"[(48.36624190821131, -110.56800588448445), (48.366805166875665, -110.57233992441155), (48.366824764834114, -110.57249076765815)]"
174,24TH AVE NW,d,Current,#FF0000,In street minor separation,"[(48.81731101825347, -110.4862712134077), (48.823112748198305, -110.48498882285064)]"
175,ROY ST,d,Current,#FF0000,In street minor separation,"[(48.619215135134155, -110.42397493775162), (48.618752128075705, -110.41966444709476)]"
179,19TH AVE E,d,Current,#FF0000,Sharrows,"[(48.59541504225431, -110.2668209254368), (48.59931663053527, -110.26582379841088)]"
180,PHINNEY AVE N,i,Current,#FFFF00,In street major separation,"[(48.74817551499831, -110.39023104493054), (48.74840325468995, -110.39017506718291), (48.74935930066895, -110.38993967004254)]"
182,THORNDYKE AVE W,d,Current,#FF0000,In street minor separation,"[(48.660046282044895, -110.53675745522405), (48.662506334090885, -110.53300397600871)]"
184,PHINNEY AVE N,i,Current,#FFFF00,In street major separation,"[(48.746948978978736, -110.38891285489849), (48.74695616609019, -110.38897358105427), (48.74695814806903, -110.38898387334449), (48.74696017244944, -110.38899414634014), (48.74696223954284, -110.38900440348966), (48.746964346445274, -110.38901463836625), (48.746966495749284, -110.38902485394833), (48.746968685174046, -110.3890350507063), (48.74697091668866, -110.38904522472063), (48.7469731883238, -110.38905537991135), (48.74697550204905, -110.38906551235821), (48.74697785558362, -110.38907562253225), (48.7469802492385, -110.38908571388275), (48.74698268923409, -110.38909577809844), (48.746985164788434, -110.38910582443259), (48.746987684402214, -110.38911584410302), (48.746990241544225, -110.38912584197233), (48.746992840464976, -110.3891358136483), (48.746995479506396, -110.38914576650143), (48.74699816001484, -110.3891556897125), (48.7470008800211, -110.38916558720207), (48.74700363983664, -110.38917546241943), (48.74700643914983, -110.38918531191477), (48.747009277961, -110.38919513568926), (48.74701215855063, -110.38920493327124), (48.74701507801541, -110.38921469823352), (48.74701803500815, -110.38922444139433), (48.74702103346805, -110.3892341549134), (48.7470240711148, -110.38924383926305), (48.7470271482589, -110.38925349789025), (48.747030262308606, -110.38926312781912), (48.7470334178257, -110.38927272810588), (48.747036610248315, -110.38928229969372), (48.7470398438265, -110.38929183819094), (48.74704311462184, -110.38930135143828), (48.747046424291874, -110.38931083206619), (48.747049770555975, -110.38932028054563), (48.74705315600648, -110.38932969985447), (48.74705658033207, -110.38933908654487), (48.74706004353276, -110.38934844061563), (48.7470635433273, -110.38935776253842), (48.747067079715805, -110.38936705231264), (48.747070654979616, -110.38937630946782), (48.747074266837316, -110.38938553447508), (48.74707791725867, -110.38939472341352), (48.74708160427393, -110.38940388020407), (48.74708532985323, -110.389413000927), (48.74708908943377, -110.38942208652323), (48.747092887889394, -110.38943113950056), (48.747096722627866, -110.38944015688072), (48.74710059333759, -110.38944913521453), (48.74710450064166, -110.3894580814004), (48.74710844391662, -110.38946698854022), (48.74711242347434, -110.38947586008314), (48.74711643931511, -110.38948469602872), (48.74712048853464, -110.38949348995013), (48.747124576940706, -110.3895022547018), (48.74712869841449, -110.38951097398001), (48.74713285617058, -110.38951965766168), (48.74713704761738, -110.38952830276799), (48.74714127503563, -110.38953690882798), (48.74714553811368, -110.38954547239311), (48.74714983519356, -110.3895540008326), (48.74715416565254, -110.38956248724735), (48.74715853208267, -110.38957093461649), (48.74716293189203, -110.3895793399619), (48.74716736508036, -110.38958770328261), (48.74717183195926, -110.38959602802886), (48.74717633418665, -110.3896043068308), (48.74718086782354, -110.3896125475287), (48.74718543712042, -110.38962074573153), (48.747190037515786, -110.3896289023816), (48.74719467097851, -110.3896370135584), (48.74719933782023, -110.38964508271117), (48.747204038041176, -110.38965310984003), (48.74720876904907, -110.38966109196691), (48.747213533124665, -110.38966902862089), (48.74721833057911, -110.38967692325068), (48.74722315653962, -110.38968477334943), (48.747228017848705, -110.38969257750394), (48.747232909944636, -110.3897003366567), (48.747237832827395, -110.38970805080713), (48.74724278649714, -110.3897157199558), (48.747247772923046, -110.38972334018236), (48.74725278785505, -110.3897309158779), (48.74725783357376, -110.38973844657114), (48.74726291204868, -110.38974592834248), (48.74726801871828, -110.38975336213394), (48.747273156174906, -110.38976075092324), (48.747278321514614, -110.38976808828306), (48.747283519922156, -110.3897753801702), (48.747288746835586, -110.38978262752617), (48.747294001320654, -110.38978982000381), (48.747299286281525, -110.3897969640306), (48.74730459974815, -110.38980406352624), (48.747309943067656, -110.38981110767251), (48.74731530805039, -110.3898181087007), (48.74732071004005, -110.38982505641611), (48.74732613307005, -110.38983195411512), (48.74733158885645, -110.38983880289155), (48.74733707252638, -110.3898456002394), (48.74734258376792, -110.3898523427089), (48.747348120923355, -110.38985903766904), (48.747353683680686, -110.38986568167088), (48.74735927369905, -110.38987226734552), (48.74736489253462, -110.38987881193826), (48.74737053634989, -110.38988529867441), (48.7473762057671, -110.38989173445225), (48.74738190275672, -110.38989811535215), (48.74738762306778, -110.38990444576436), (48.74739337095068, -110.38991072129834), (48.74739914412425, -110.38991694242485), (48.74740494061974, -110.38992311306417), (48.747410764375545, -110.38992922537639), (48.747416611452806, -110.38993528720069), (48.74742248154033, -110.38994129508895), (48.74742837919985, -110.3899472480987), (48.747434297276996, -110.38995314419374), (48.74744287895878, -110.38996154693098)]"
186,UNIVERSITY WAY NE,d,Current,#FF0000,In street minor separation,"[(48.74427593009131, -110.25068921260842), (48.74717703194105, -110.25001606361164)]"
